Interface,MDN Has Compabibility Data,MDN Page Exists,Expected URL
Element.SetSanitizedHTML,false,false,https://developer.mozilla.org/en-US/docs/Web/API/Element/SetSanitizedHTML
Document.onbeforexrselect,false,false,https://developer.mozilla.org/en-US/docs/Web/API/Document/onbeforexrselect
KeyframeEffect.pseudoElement,true,false,https://developer.mozilla.org/docs/Web/API/KeyframeEffect/pseudoElement
Window.onbeforexrselect,false,false,https://developer.mozilla.org/en-US/docs/Web/API/Window/onbeforexrselect
CSSGroupingRule.cssRules,false,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSGroupingRule/cssRules
CSSGroupingRule.deleteRule,false,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSGroupingRule/deleteRule
CSSGroupingRule.insertRule,false,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSGroupingRule/insertRule
CSSRuleList.item,true,false,https://developer.mozilla.org/docs/Web/API/CSSRuleList/item
CSSRuleList.length,true,false,https://developer.mozilla.org/docs/Web/API/CSSRuleList/length
CSSStyleDeclaration.[TreatNullAs=EmptyString,false,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSStyleDeclaration/[TreatNullAs=EmptyString
CSSStyleSheet.CSSStyleSheet,true,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSStyleSheet/CSSStyleSheet
CSSStyleSheet.replace,true,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSStyleSheet/replace
CSSStyleSheet.replaceSync,true,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSStyleSheet/replaceSync
CSSStyleValue.toString,true,false,https://developer.mozilla.org/en-US/docs/Web/API/CSSStyleValue/toString
StylePropertyMapReadOnly.,false,false,https://developer.mozilla.org/en-US/docs/Web/API/StylePropertyMapReadOnly/
FontFace.sizeAdjust,false,false,https://developer.mozilla.org/en-US/docs/Web/API/FontFace/sizeAdjust
FontFaceSet.onloading,true,false,https://developer.mozilla.org/docs/Web/API/FontFaceSet/onloading
FontFaceSet.status,true,false,https://developer.mozilla.org/docs/Web/API/FontFaceSet/status
FontFaceSet.onloadingerror,true,false,https://developer.mozilla.org/docs/Web/API/FontFaceSet/onloadingerror
